GawP	acts within
GccD	causes condition
CdaA	decreases activity
ChaA	has activity
CiaA	increases activity
CdeE	decreases effect
CheE	has effect
CieE	increases effect
AscoA	sub class of
ChcA	has code
CiaG	is affecting
CtD	is substance that treats
ChtT	has target
DhpP	has phenotype
TgpG	gene product of
ChiI	has indication
CieC	increases efficacy
CdeC	decreases efficacy
CseSE	has side effect
_GawP	is acted within by
_GccD	is condition caused by
_CdaA	has activity decreased by
_ChaA	has activity from
_CiaA	has activity increased by
_CdeE	has effect decreased by
_CheE	has effect from
_CieE	has effect increased by
_AscoA	is super class of
_ChcA	is code of
_CiaG	is affected by
_CtD	is treated by
_ChtT	is target of
_DhpP	is phenotype of
_TgpG	is gene product of
_ChiI	is indication of
_CieC	has efficacy increased by
_CdeC	has efficacy decreased by
_CseSE	is side effect of
